bir	6310729
olmak	4694092
ben	3680672
ne	3159486
mi	2225181
yapmak	1981352
demek	1957876
on	1825846
şey	1728284
sen	1645880
etmek	1625182
çok	1599228
am	1553128
değmek	1506198
istemek	1465008
bun	1448867
damak	1436146
evet	1417688
se	1334798
iyi	1287591
gitmek	1287004
gelmek	1258894
bura	1181688
söylemek	1142562
bilmek	1112342
hayır	1109668
daha	1068428
iç	1063276
görmek	1021937
içmek	1004143
yok	962493
de	891051
kadar	879977
var	863695
zaman	856457
varmak	856424
vermek	813376
biz	799608
tamam	795177
bakmak	764770
almak	741515
her	729184
yamak	726412
siz	718969
iş	671678
sanmak	666507
kendi	610607
şu	610483
nasıl	609974
sadece	593487
öyle	558408
bilemek	534106
sonra	531986
şimdi	520676
hiç	505950
nere	496058
imek	475294
önce	450738
güzel	438344
emek	432841
çocuk	432553
iki	432381
anlamak	429867
baba	425469
biraz	423072
gerekmek	405027
teşekkür	399929
yemek	397652
anne	391931
insan	388416
ora	387077
ev	385949
kalmak	380964
biri	378794
böyle	376154
yer	370907
yani	368481
bulmak	365709
başka	351934
geri	351017
neden	350851
gün	346770
bırakmak	346136
lütfen	338212
tanrı	336572
ölmek	335384
hayat	333831
çıkmak	333079
eğmek	323262
artık	320030
tek	315138
onmak	313688
doğru	313458
sevmek	307850
aramak	304294
belki	298332
kız	297219
pek	286491
adam	286100
gerçek	284320
durmak	283319
zor	282242
ban	281080
banmak	281080
gece	280849
büyük	277984
konuşmak	272583
baş	262848
düşünmek	260405
arkadaş	257770
mis	257443
dönmek	249516
en	243530
beklemek	243248
çalışmak	239466
et	239132
yol	237895
san	237327
geçmek	236678
kötü	235920
ihtiyaç	233675
kimse	233180
düşmek	232381
el	231422
başlamak	230808
hep	230245
tüm	226079
olur	224318
harika	224183
ada	221764
merhaba	220644
para	205189
çalmak	204764
duymak	203828
bayan	202583
son	202310
herkes	199974
ilk	198949
an	197742
girmek	196757
ara	195642
yüz	194846
bütün	193805
saat	192762
getirmek	190620
hemen	185520
ad	183426
bay	179405
küçük	179380
eder	178608
işte	177843
al	177248
hepsi	171025
hak	169208
göz	167057
konu	166750
kişi	164008
aile	162232
sormak	162019
dost	161434
peki	160588
dünya	156758
bugün	155948
ta	155910
birlik	155314
şe	153424
dakika	152026
inanmak	150015
öldürmek	149986
polis	149042
baymak	147756
konmak	147718
tekrar	147687
karşı	146687
fazla	146514
özür	145809
somak	144044
asıl	143797
üç	142520
hala	142402
şekil	142265
söz	141969
yine	141512
yeni	140192
yıl	139480
haber	139360
bence	139058
diğer	138788
lazım	138281
araba	137916
kadın	137742
ister	136652
kardeş	136587
erkek	136375
hazır	135998
kullanmak	135568
iz	134972
taraf	133070
zaten	133010
hoş	131126
haydi	130659
birkaç	130150
fikir	128668
bebek	128627
içeri	128590
dışarı	127946
tatlı	127164
il	125642
ilmek	125642
göstermek	124884
kızmak	124280
can	124163
oğul	124056
oda	123762
bile	122862
yermek	122831
kafa	122600
kaçmak	122169
olay	121812
hatırlamak	121747
yarmak	121178
onamak	120325
tanımak	119049
soru	119041
ilgili	118520
efendi	118342
fark	117568
tane	117557
çekmek	116526
dinlemek	116034
yaşamak	115678
un	115157
unutmak	114790
yan	113932
doktor	113920
ney	113822
efe	113548
telefon	113338
yen	112114
faz	112090
lanet	112065
gerçekte	109805
gerek	109155
la	108963
olmadık	108905
yardım	108660
öğrenmek	108161
kapı	107610
durum	107378
hal	107076
korkmak	106298
kal	105464
sahip	105224
gerçekten	105071
duru	104166
şans	103465
kesinlikle	103043
aynı	102817
inmek	102534
tutmak	102255
üzgü	102250
üzgün	102250
oturmak	101859
götürmek	100342
bul	100044
yar	99827
mutlu	99435
ön	99094
atmak	98928
he	98679
tam	98072
parmak	96234
kabul	96227
görünmek	96092
sorun	95714
niye	95696
in	94965
bitmek	94790
yüzde	93950
kez	92618
sorumak	91754
yanlış	90913
falan	90595
izin	90435
akşam	90364
ayn	89932
orta	89694
kadı	88882
akıl	88289
em	87911
hakkında	87134
özel	87125
okul	86415
emin	86382
kontrol	86304
arka	85629
açmak	85410
içinde	85059
sabah	84779
hâlâ	84314
deva	83680
devam	83680
az	83668
yılmak	82617
dış	82284
yalnız	82159
hangi	81930
güç	81909
beri	81809
ses	81393
uzak	81088
açık	79892
geç	79560
merak	79560
üzeri	79494
alt	79475
aptal	79085
olmaz	78709
yaş	77758
yazmak	77555
ciddi	77229
selam	77151
bunamak	76872
sebep	76067
hamak	76066
sela	75644
cevap	75288
dilemek	75158
kalp	74676
pekâlâ	74550
geçen	74410
anlam	73748
eski	73607
ölü	72986
ateş	72551
vurmak	72415
aslında	72394
oynamak	72153
sıra	71630
sanki	71595
kaç	71260
üst	71237
yoksamak	71232
sürmek	71122
dilmek	71074
beş	70969
nefret	70932
kesmek	70876
hafta	70874
çıkarmak	70740
anmak	70652
dikkat	70341
aşk	69782
yarı	69285
şehir	69109
parça	69089
çabuk	68856
yardımcı	68371
bey	68289
görüşmek	67750
uz	67212
uzun	67212
film	66594
tamamen	66164
genç	65795
parti	65653
su	65588
hata	65547
kurtarmak	65402
numara	65373
gelecek	65282
kaybetmek	64966
bek	64725
bazı	63566
yürümek	63547
yakalamak	63541
dört	63526
suç	63358
kolay	63141
ummak	63060
isim	63051
koca	62716
bilgi	62584
verdi	62528
ancak	62169
ayak	61876
boş	61441
beraber	61174
neler	61150
le	61112
hissetmek	60880
aşağı	60799
anlatmak	60751
görev	60730
plan	60592
altı	60589
benzemek	59629
ay	59281
sağ	59098
bazen	58870
henüz	58238
süre	58228
birbiri	58141
herif	57638
denemek	57425
ede	57202
izlemek	57006
adamı	56915
din	56718
savaş	56631
koymak	56461
sevgili	56409
takip	56330
sefer	56324
geçirmek	56141
ders	56066
kahretmek	55826
tabi	55745
azmak	55499
günü	55476
muhtemelen	55358
saniye	55330
