# Geçiş modeli: prev_pos TAB next_pos TAB log_prob
# Kaynak: TrMor2018 (ai-ku, MIT) — türetilmiş sayım
<S>	Adj	-2.19451720
<S>	Adverb	-2.45403799
<S>	Conj	-2.85381461
<S>	Det	-2.31954229
<S>	Interj	-5.68303194
<S>	Noun	-4.83694547
<S>	Noun:abl	-4.11512249
<S>	Noun:acc	-3.64357411
<S>	Noun:dat	-3.48580736
<S>	Noun:gen	-2.99610728
<S>	Noun:ins	-4.94028782
<S>	Noun:loc	-3.37621851
<S>	Noun:nom	-1.14488925
<S>	Num	-3.77035562
<S>	Postp	-7.27566273
<S>	Pron	-2.63127184
<S>	Punc	-3.40968367
<S>	Verb	-8.37427502
<S>	Verb:aorist	-5.64969552
<S>	Verb:cond	-5.57851924
<S>	Verb:evid	-6.07168993
<S>	Verb:fut	-6.95720900
<S>	Verb:imp	-5.45650429
<S>	Verb:neces	-9.76056938
<S>	Verb:opt	-6.89836850
<S>	Verb:past	-5.72632875
<S>	Verb:pres	-5.39747076
Adj	</S>	-10.74201132
Adj	Adj	-2.43677449
Adj	Adverb	-3.63540518
Adj	Conj	-3.53267106
Adj	Det	-2.14767192
Adj	Interj	-9.13257341
Adj	Noun	-4.89557254
Adj	Noun:abl	-3.77787571
Adj	Noun:acc	-2.87184537
Adj	Noun:dat	-3.01139725
Adj	Noun:gen	-3.01623988
Adj	Noun:ins	-3.94742474
Adj	Noun:loc	-2.96715555
Adj	Noun:nom	-1.14165794
Adj	Num	-4.32038905
Adj	Postp	-5.22858257
Adj	Pron	-5.05503596
Adj	Punc	-2.52619353
Adj	Verb	-7.52313549
Adj	Verb:aorist	-4.79136877
Adj	Verb:cond	-5.88219891
Adj	Verb:evid	-5.64826112
Adj	Verb:fut	-5.89782423
Adj	Verb:imp	-5.33483955
Adj	Verb:neces	-6.95782168
Adj	Verb:opt	-8.79610117
Adj	Verb:past	-3.99325177
Adj	Verb:pres	-4.03882321
Adverb	Adj	-1.63616459
Adverb	Adverb	-2.67050204
Adverb	Conj	-3.34569764
Adverb	Det	-2.94064162
Adverb	Interj	-8.95027347
Adverb	Noun	-5.37605692
Adverb	Noun:abl	-3.99210174
Adverb	Noun:acc	-3.19032072
Adverb	Noun:dat	-3.06047257
Adverb	Noun:gen	-3.72273628
Adverb	Noun:ins	-4.96748139
Adverb	Noun:loc	-3.93963817
Adverb	Noun:nom	-1.76035130
Adverb	Num	-4.38592528
Adverb	Postp	-5.95454119
Adverb	Pron	-3.31548386
Adverb	Punc	-2.12264423
Adverb	Verb	-6.31121614
Adverb	Verb:aorist	-3.65362416
Adverb	Verb:cond	-5.26976226
Adverb	Verb:evid	-4.60646804
Adverb	Verb:fut	-4.97998155
Adverb	Verb:imp	-4.66898840
Adverb	Verb:neces	-6.26469612
Adverb	Verb:opt	-6.71668125
Adverb	Verb:past	-2.99703013
Adverb	Verb:pres	-3.47520559
Conj	Adj	-1.94370993
Conj	Adverb	-2.83265004
Conj	Conj	-3.37800764
Conj	Det	-2.90108357
Conj	Interj	-8.08753784
Conj	Noun	-5.29432984
Conj	Noun:abl	-4.04156687
Conj	Noun:acc	-3.16270254
Conj	Noun:dat	-3.16877420
Conj	Noun:gen	-3.11541241
Conj	Noun:ins	-4.39035959
Conj	Noun:loc	-3.64097269
Conj	Noun:nom	-1.21800378
